,dresses,rates
0,Women A-line Multicolor Dress,₹550
1,Women Fit and Flare Multicolor Dress,₹560
2,Women Maxi Light Blue Dress,₹570
3,Women Maxi Multicolor Dress,₹550
4,Women Pinafore Brown Dress,₹550
5,Women Maxi Multicolor Dress,₹550
6,Women Skater Pink Dress,₹580
7,Women Pleated Black Dress,₹550
8,Women A-line Grey Dress,₹550
9,Women Maxi White Dress,₹720
10,Women Maxi Black Dress,₹787
11,Women A-line Blue Dress,₹647
12,Women Shirt Light Blue Dress,₹612
13,Women A-line Gold Dress,₹578
14,Women Skater Light Green Dress,₹550
15,Women A-line Black Dress,₹676
16,Women Maxi Blue Dress,₹735
17,Women A-line Blue Dress,₹610
18,Women A-line Black Dress,₹550
19,Women A-line Brown Dress,₹594
20,Women Sheath Pink Dress,₹550
21,Women A-line Green Dress,₹594
22,Women Shirt Multicolor Dress,₹760
23,Women A-line Maroon Dress,₹610
24,Women A-line White Dress,₹704
25,Women Wrap Black Dress,₹697
26,Women Sheath Pink Dress,₹550
27,"Women A-line White, Blue Dress",₹550
28,Women Pleated Pink Dress,₹550
29,Women A-line Red Dress,₹676
30,Women Ruffled Maroon Dress,₹550
31,Women Fit and Flare Multicolor Dress,₹640
32,Women Bodycon Black Dress,₹550
33,Women Bodycon Dark Blue Dress,₹550
34,Women A-line Maroon Dress,₹610
35,Women A-line Red Dress,₹550
36,Women A-line Pink Dress,₹550
37,Women Maxi Light Green Dress,₹575
38,Women Bodycon Pink Dress,₹609
39,Women Fit and Flare Light Blue Dress,₹957
